"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","THE VILLAS @ SENTOSA COVE","OCEAN DRIVE","Terrace","04","CCR","99 yrs lease commencing from 2005","Resale","1","4888000","-","2327","Land","-","2100","Jan-2019"
"2","WESTVIEW GARDENS","JALAN MAS KUNING","Semi-detached","05","OCR","Freehold","Resale","1","4250000","-","4968","Land","-","856","Dec-2018"
"3","SPRINGWOOD","JALAN MAT JAMBOL","Terrace","05","RCR","Freehold","Resale","1","3250000","-","2185","Land","-","1487","Dec-2018"
"4","KASARA","OCEAN DRIVE","Detached","04","CCR","99 yrs lease commencing from 2006","Resale","1","14800000","-","9042","Land","-","1637","Nov-2018"
"5","LANDED HOUSING DEVELOPMENT","WISHART ROAD","Semi-detached","04","RCR","Freehold","Resale","1","4200000","-","3760","Land","-","1117","Nov-2018"
"6","LANDED HOUSING DEVELOPMENT","COVE DRIVE","Detached","04","CCR","99 yrs lease commencing from 2007","Resale","1","23988000","-","9539","Land","-","2515","Nov-2018"
"7","WEST COAST GARDENS","WEST COAST PLACE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2900000","-","2002","Land","-","1448","Oct-2018"
"8","PARADISE ISLAND","PARADISE ISLAND","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","14000000","-","9236","Land","-","1516","Oct-2018"
"9","KASARA","OCEAN DRIVE","Detached","04","CCR","99 yrs lease commencing from 2006","Resale","1","14000000","-","9042","Land","-","1548","Oct-2018"
"10","LANDED HOUSING DEVELOPMENT","SIOK WAN CLOSE","Semi-detached","05","RCR","Freehold","Resale","1","3900000","-","3606","Land","-","1082","Sep-2018"
"11","LANDED HOUSING DEVELOPMENT","ZEHNDER ROAD","Semi-detached","05","RCR","Freehold","Resale","1","5000000","-","3315","Land","-","1508","Sep-2018"
"12","SHEPHERD'S HILL ESTATE","MERINO CRESCENT","Detached","03","RCR","Freehold","Resale","1","5350000","-","4108","Land","-","1302","Aug-2018"
"13","LANDED HOUSING DEVELOPMENT","MERINO CRESCENT","Semi-detached","03","RCR","Freehold","Resale","1","3880000","-","2488","Land","-","1560","Aug-2018"
"14","LANDED HOUSING DEVELOPMENT","COVE GROVE","Detached","04","CCR","99 yrs lease commencing from 2007","Resale","1","33300000","-","18555","Land","-","1795","Aug-2018"
"15","LANDED HOUSING DEVELOPMENT","GUOK AVENUE","Detached","05","RCR","Freehold","Resale","1","4520000","-","5316","Land","-","850","Aug-2018"
"16","LANDED HOUSING DEVELOPMENT","FABER DRIVE","Semi-detached","05","OCR","Freehold","Resale","1","5350000","-","4446","Land","-","1203","Jul-2018"
"17","LANDED HOUSING DEVELOPMENT","FABER GREEN","Terrace","05","OCR","Freehold","Resale","1","2910000","-","2132","Land","-","1365","Jul-2018"
"18","WEST COAST GARDENS","WEST COAST PLACE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","3000000","-","2005","Land","-","1496","Jul-2018"
"19","WEST COAST GARDENS","WEST COAST DRIVE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2860000","-","2090","Land","-","1368","Jun-2018"
"20","LANDED HOUSING DEVELOPMENT","ZEHNDER ROAD","Semi-detached","05","RCR","Freehold","Resale","1","4750000","-","3380","Land","-","1405","Jun-2018"
"21","FABER HILLS","FABER AVENUE","Semi-detached","05","OCR","Freehold","Resale","1","6300000","-","4448","Land","-","1416","Jun-2018"
"22","LANDED HOUSING DEVELOPMENT","JALAN MAS KUNING","Terrace","05","OCR","Freehold","Resale","1","3450000","-","3150","Land","-","1095","Jun-2018"
"23","PARADISE ISLAND","PARADISE ISLAND","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","12000000","-","8170","Land","-","1469","May-2018"
"24","LANDED HOUSING DEVELOPMENT","WEST COAST ROAD","Terrace","05","OCR","99 yrs lease commencing from 1995","Resale","1","2650000","-","2550","Land","-","1039","May-2018"
"25","LANDED HOUSING DEVELOPMENT","JALAN PELEPAH","Semi-detached","05","RCR","Freehold","Resale","1","4100000","-","3251","Land","-","1261","May-2018"
"26","WEST COAST GARDENS","WEST COAST TERRACE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","3610000","-","2004","Land","-","1801","May-2018"
"27","LANDED HOUSING DEVELOPMENT","COVE DRIVE","Detached","04","CCR","99 yrs lease commencing from 2007","Resale","1","14000000","-","6851","Land","-","2043","May-2018"
"28","SHEPHERD'S HILL ESTATE","MERINO CRESCENT","Detached","03","RCR","Freehold","Resale","1","6810000","-","5526","Land","-","1232","May-2018"
"29","SPRINGDEW TERRACE","JALAN MAT JAMBOL","Terrace","05","RCR","Freehold","Resale","1","2850000","-","1615","Land","-","1765","May-2018"
"30","LANDED HOUSING DEVELOPMENT","LORONG SARI","Detached","05","RCR","Freehold","Resale","1","5180000","-","4814","Land","-","1076","Apr-2018"
"31","PARADISE ISLAND","PARADISE ISLAND","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","11200000","-","8633","Land","-","1297","Apr-2018"
"32","LANDED HOUSING DEVELOPMENT","COVE GROVE","Detached","04","CCR","99 yrs lease commencing from 2007","Resale","1","12000000","-","9177","Land","-","1308","Apr-2018"
"33","LANDED HOUSING DEVELOPMENT","JALAN MAS PUTEH","Terrace","05","OCR","Freehold","Resale","1","2250000","-","1491","Land","-","1509","Apr-2018"
"34","LANDED HOUSING DEVELOPMENT","WESTRIDGE WALK","Terrace","05","RCR","Freehold","Resale","1","3080000","-","2305","Land","-","1336","Mar-2018"
"35","EALINE PARK","PASIR PANJANG DRIVE","Terrace","05","RCR","Freehold","Resale","1","3080000","-","2285","Land","-","1348","Mar-2018"
"36","LANDED HOUSING DEVELOPMENT","JALAN MAT JAMBOL","Semi-detached","05","RCR","Freehold","Resale","1","4080000","-","3969","Land","-","1028","Mar-2018"
"37","THE CLEMENTVALE","MAS KUNING TERRACE","Terrace","05","OCR","99 yrs lease commencing from 1997","Resale","1","2050000","-","2339","Land","-","876","Mar-2018"
"38","LANDED HOUSING DEVELOPMENT","PASIR PANJANG ROAD","Semi-detached","05","RCR","Freehold","Resale","1","3380000","-","2497","Land","-","1353","Feb-2018"
"39","WEST COAST GARDENS","WEST COAST LANE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","3000000","-","2856","Land","-","1051","Feb-2018"
"40","THE CLEMENTVALE","MAS KUNING TERRACE","Terrace","05","OCR","99 yrs lease commencing from 1997","Resale","1","1820000","-","2046","Land","-","889","Feb-2018"
"41","WEST COAST GARDENS","WEST COAST TERRACE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2700000","-","1983","Land","-","1362","Jan-2018"
"42","LANDED HOUSING DEVELOPMENT","TAMAN MAS MERAH","Terrace","05","OCR","Freehold","Resale","1","2288000","-","1496","Land","-","1529","Jan-2018"
"43","LANDED HOUSING DEVELOPMENT","OCEAN DRIVE","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","13380000","-","8675","Land","-","1542","Jan-2018"
"44","LANDED HOUSING DEVELOPMENT","FABER WALK","Semi-detached","05","OCR","Freehold","Resale","1","3900000","-","3533","Land","-","1104","Jan-2018"
"45","LANDED HOUSING DEVELOPMENT","OCEAN DRIVE","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","17500000","-","8585","Land","-","2038","Jan-2018"
"46","WEST POINT PEARL GARDEN","WEST COAST ROAD","Semi-detached","05","OCR","Freehold","Resale","1","3900000","-","3261","Land","-","1196","Jan-2018"
"47","CHELSEA VILLAGE","JAMBOL PLACE","Terrace","05","RCR","Freehold","Resale","1","2950000","-","2015","Land","-","1464","Jan-2018"
"48","LANDED HOUSING DEVELOPMENT","TAMAN MAS MERAH","Terrace","05","OCR","Freehold","Resale","1","2180000","-","1496","Land","-","1457","Dec-2017"
"49","LANDED HOUSING DEVELOPMENT","TAMAN MAS MERAH","Semi-detached","05","OCR","Freehold","Resale","1","2800000","-","3235","Land","-","866","Dec-2017"
"50","LANDED HOUSING DEVELOPMENT","FABER DRIVE","Detached","05","OCR","Freehold","Resale","1","8200000","-","8488","Land","-","966","Dec-2017"
"51","LANDED HOUSING DEVELOPMENT","FABER GREEN","Terrace","05","OCR","Freehold","Resale","1","2875000","-","2133","Land","-","1348","Dec-2017"
"52","WEST COAST GARDENS","WEST COAST PLACE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","3750000","-","4541","Land","-","826","Dec-2017"
"53","WEST COAST GARDENS","WEST COAST AVENUE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2270000","-","1807","Land","-","1256","Dec-2017"
"54","SPRINGWOOD","SPRINGWOOD CRESCENT","Terrace","05","RCR","Freehold","Resale","1","4600000","-","4498","Land","-","1023","Dec-2017"
"55","WEST COAST GARDENS","WEST COAST PLACE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2800000","-","2871","Land","-","975","Nov-2017"
"56","THE CLEMENTVALE","MAS KUNING TERRACE","Terrace","05","OCR","99 yrs lease commencing from 1997","Resale","1","1880000","-","3874","Land","-","485","Nov-2017"
"57","LANDED HOUSING DEVELOPMENT","PASIR PANJANG ROAD","Detached","05","RCR","Freehold","Resale","1","6200000","-","8130","Land","-","763","Nov-2017"
"58","PARADISE ISLAND","PARADISE ISLAND","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","14688000","-","7369","Land","-","1993","Nov-2017"
"59","PARADISE ISLAND","PARADISE ISLAND","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","19898000","-","8137","Land","-","2446","Nov-2017"
"60","SPRINGWOOD","SPRINGWOOD CRESCENT","Terrace","05","RCR","Freehold","Resale","1","3000000","-","2422","Land","-","1239","Nov-2017"
"61","LANDED HOUSING DEVELOPMENT","JALAN MAS PUTEH","Terrace","05","OCR","Freehold","Resale","1","2250000","-","1489","Land","-","1511","Nov-2017"
"62","PASIR PANJANG GARDENS","TAMAN MAS MERAH","Terrace","05","OCR","Freehold","Resale","1","3280000","-","2465","Land","-","1331","Oct-2017"
"63","BLAIR PLAIN CONSERVATION AREA","BLAIR ROAD","Terrace","02","RCR","Freehold","Resale","1","4750000","-","1625","Land","-","2922","Oct-2017"
"64","CHWEE CHIAN VIEW","CHWEE CHIAN VIEW","Terrace","05","RCR","Freehold","Resale","1","2500000","-","1885","Land","-","1326","Oct-2017"
"65","THE VILLAS @ SENTOSA COVE","OCEAN DRIVE","Terrace","04","CCR","99 yrs lease commencing from 2005","Resale","1","5080000","-","2731","Land","-","1860","Oct-2017"
"66","LANDED HOUSING DEVELOPMENT","OCEAN DRIVE","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","12300000","-","7987","Land","-","1540","Sep-2017"
"67","LANDED HOUSING DEVELOPMENT","JALAN MAS KUNING","Terrace","05","OCR","Freehold","Resale","1","3000000","-","2462","Land","-","1219","Sep-2017"
"68","WEST COAST GARDENS","WEST COAST GREEN","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","3700000","-","3815","Land","-","970","Sep-2017"
"69","LANDED HOUSING DEVELOPMENT","BUKIT TERESA ROAD","Terrace","04","RCR","Freehold","Resale","1","2838000","-","1919","Land","-","1479","Sep-2017"
"70","SENTOSA COVE","TREASURE ISLAND","Detached","04","CCR","99 yrs lease commencing from 2006","Resale","1","20000000","-","11285","Land","-","1772","Sep-2017"
"71","OCEAN 8","OCEAN DRIVE","Terrace","04","CCR","99 yrs lease commencing from 2005","Resale","1","6500000","-","3663","Land","-","1775","Aug-2017"
"72","LANDED HOUSING DEVELOPMENT","WEST COAST ROAD","Terrace","05","OCR","99 yrs lease commencing from 1995","Resale","1","2550000","-","2888","Land","-","883","Aug-2017"
"73","LANDED HOUSING DEVELOPMENT","FABER TERRACE","Terrace","05","OCR","Freehold","Resale","1","3200000","-","2241","Land","-","1428","Aug-2017"
"74","LANDED HOUSING DEVELOPMENT","BALMEG HILL","Detached","05","RCR","Freehold","Resale","1","12300000","-","13393","Land","-","918","Jul-2017"
"75","WEST COAST GARDENS","WEST COAST TERRACE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2900000","-","2915","Land","-","995","Jul-2017"
"76","LANDED HOUSING DEVELOPMENT","LAKESHORE VIEW","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","15500000","-","8576","Land","-","1807","Jul-2017"
"77","LANDED HOUSING DEVELOPMENT","FABER DRIVE","Semi-detached","05","OCR","Freehold","Resale","1","4812000","-","5133","Land","-","937","Jul-2017"
"78","PASIR PANJANG GARDENS","TAMAN MAS MERAH","Terrace","05","OCR","Freehold","Resale","1","2360000","-","1496","Land","-","1577","Jul-2017"
"79","LANDED HOUSING DEVELOPMENT","PEARL ISLAND","Detached","04","CCR","99 yrs lease commencing from 2008","Resale","1","11288000","-","7011","Land","-","1610","Jul-2017"
"80","WEST POINT PEARL GARDEN","WEST COAST ROAD","Detached","05","OCR","Freehold","Resale","1","5180000","-","5224","Land","-","992","Jul-2017"
"81","LANDED HOUSING DEVELOPMENT","COVE DRIVE","Detached","04","CCR","99 yrs lease commencing from 2006","Resale","1","14000000","-","9689","Land","-","1445","Jun-2017"
"82","LANDED HOUSING DEVELOPMENT","WEST COAST VIEW","Terrace","05","OCR","Freehold","Resale","1","2200000","-","2167","Land","-","1015","Jun-2017"
"83","LANDED HOUSING DEVELOPMENT","PEARL ISLAND","Detached","04","CCR","99 yrs lease commencing from 2008","Resale","1","16550000","-","8940","Land","-","1851","Jun-2017"
"84","THE CLEMENTVALE","MAS KUNING TERRACE","Terrace","05","OCR","99 yrs lease commencing from 1997","Resale","1","1868000","-","2158","Land","-","866","Jun-2017"
"85","LANDED HOUSING DEVELOPMENT","COVE GROVE","Detached","04","CCR","99 yrs lease commencing from 2009","Resale","1","16600000","-","9725","Land","-","1707","Jun-2017"
"86","LANDED HOUSING DEVELOPMENT","FABER PARK","Detached","05","OCR","Freehold","Resale","1","8600000","-","10496","Land","-","819","Jun-2017"
"87","WEST COAST GARDENS","WEST COAST GREEN","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","3000000","-","1983","Land","-","1513","May-2017"
"88","LANDED HOUSING DEVELOPMENT","COVE GROVE","Detached","04","CCR","99 yrs lease commencing from 2007","Resale","1","14500000","-","11515","Land","-","1259","May-2017"
"89","WEST COAST GARDENS","WEST COAST RISE","Semi-detached","05","OCR","956 yrs lease commencing from 1928","Resale","1","3999888","-","4608","Land","-","868","Apr-2017"
"90","WEST COAST GARDENS","WEST COAST PARK","Semi-detached","05","OCR","956 yrs lease commencing from 1928","Resale","1","3500000","-","3888","Land","-","900","Apr-2017"
"91","LANDED HOUSING DEVELOPMENT","FABER DRIVE","Terrace","05","OCR","Freehold","Resale","1","2930000","-","2139","Land","-","1370","Apr-2017"
"92","LANDED HOUSING DEVELOPMENT","COVE GROVE","Detached","04","CCR","99 yrs lease commencing from 2007","Resale","1","16800000","-","9349","Land","-","1797","Apr-2017"
"93","BANYAN PARK","CHWEE CHIAN ROAD","Terrace","05","RCR","Freehold","Resale","1","3030000","-","2152","Land","-","1408","Apr-2017"
"94","WEST POINT PEARL GARDEN","WEST COAST ROAD","Detached","05","OCR","Freehold","Resale","1","6700000","-","6788","Land","-","987","Apr-2017"
"95","LANDED HOUSING DEVELOPMENT","FABER AVENUE","Semi-detached","05","OCR","Freehold","Resale","1","4560000","-","4225","Land","-","1079","Apr-2017"
"96","LANDED HOUSING DEVELOPMENT","OCEAN DRIVE","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","12500000","-","7381","Land","-","1694","Apr-2017"
"97","LANDED HOUSING DEVELOPMENT","COVE DRIVE","Detached","04","CCR","99 yrs lease commencing from 2007","Resale","1","10000000","-","7420","Land","-","1348","Apr-2017"
"98","BANYAN PARK","CHWEE CHIAN ROAD","Terrace","05","RCR","Freehold","Resale","1","2650000","-","1628","Land","-","1628","Mar-2017"
"99","CORAL ISLAND","CORAL ISLAND","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","11000000","-","9325","Land","-","1180","Mar-2017"
"100","PASIR PANJANG GARDENS","TAMAN MAS MERAH","Terrace","05","OCR","Freehold","Resale","1","2200000","-","1640","Land","-","1341","Mar-2017"
"101","SPRINGWOOD","JALAN MAT JAMBOL","Terrace","05","RCR","Freehold","Resale","1","2700000","-","2249","Land","-","1201","Mar-2017"
"102","LANDED HOUSING DEVELOPMENT","LAKESHORE VIEW","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","21250000","-","11268","Land","-","1886","Mar-2017"
"103","WESTVIEW GARDENS","JALAN MAS KUNING","Terrace","05","OCR","Freehold","Resale","1","2530000","-","2001","Land","-","1264","Feb-2017"
"104","WEST COAST GARDENS","WEST COAST PLACE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2450000","-","2005","Land","-","1222","Jan-2017"
"105","WEST COAST GARDENS","WEST COAST PARK","Semi-detached","05","OCR","956 yrs lease commencing from 1928","Resale","1","4100000","-","4802","Land","-","854","Jan-2017"
"106","LANDED HOUSING DEVELOPMENT","JALAN MAS KUNING","Terrace","05","OCR","Freehold","Resale","1","2030000","-","1591","Land","-","1276","Jan-2017"
"107","LANDED HOUSING DEVELOPMENT","JALAN MAT JAMBOL","Terrace","05","RCR","Freehold","Resale","1","2400000","-","1634","Land","-","1469","Jan-2017"
"108","CHELSEA VILLAGE","JAMBOL PLACE","Terrace","05","RCR","Freehold","Resale","1","2352000","-","1899","Land","-","1239","Dec-2016"
"109","LANDED HOUSING DEVELOPMENT","WEST COAST ROAD","Terrace","05","OCR","Freehold","Resale","1","2525000","-","1842","Land","-","1371","Dec-2016"
"110","WESTPEAK TERRACE","WEST COAST WALK","Terrace","05","OCR","Freehold","Resale","1","2700000","-","2189","Land","-","1233","Dec-2016"
"111","VILLAS SIX","PASIR PANJANG ROAD","Terrace","05","RCR","Freehold","Resale","1","2900000","-","1818","Land","-","1595","Nov-2016"
"112","CHWEE CHIAN VIEW","CHWEE CHIAN VIEW","Terrace","05","RCR","Freehold","Resale","1","2310000","-","1803","Land","-","1281","Nov-2016"
"113","LANDED HOUSING DEVELOPMENT","PASIR PANJANG ROAD","Detached","05","RCR","Freehold","Resale","1","7250000","-","8130","Land","-","892","Oct-2016"
"114","SPRINGWOOD","SPRINGWOOD HEIGHT","Terrace","05","RCR","Freehold","Resale","1","3680000","-","3538","Land","-","1040","Oct-2016"
"115","WEST COAST GARDENS","WEST COAST LANE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2580000","-","1973","Land","-","1308","Oct-2016"
"116","LANDED HOUSING DEVELOPMENT","LAKESHORE VIEW","Detached","04","CCR","99 yrs lease commencing from 2006","Resale","1","11000000","-","7757","Land","-","1418","Oct-2016"
"117","LANDED HOUSING DEVELOPMENT","COVE DRIVE","Detached","04","CCR","99 yrs lease commencing from 2007","Resale","1","9000000","-","8126","Land","-","1108","Sep-2016"
"118","LANDED HOUSING DEVELOPMENT","OCEAN DRIVE","Detached","04","CCR","99 yrs lease commencing from 2005","Resale","1","28000000","-","9580","Land","-","2923","Sep-2016"
"119","LANDED HOUSING DEVELOPMENT","JALAN PASIR RIA","Terrace","05","RCR","Freehold","Resale","1","3100000","-","2290","Land","-","1354","Sep-2016"
"120","LANDED HOUSING DEVELOPMENT","GUOK AVENUE","Detached","05","RCR","Freehold","Resale","1","5750000","-","6848","Land","-","840","Aug-2016"
"121","PASIR PANJANG GARDENS","JALAN MAS PUTEH","Terrace","05","OCR","Freehold","Resale","1","2008000","-","1489","Land","-","1349","Aug-2016"
"122","WEST COAST GARDENS","WEST COAST GROVE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2570000","-","2570","Land","-","1000","Jul-2016"
"123","LANDED HOUSING DEVELOPMENT","COVE WAY","Detached","04","CCR","99 yrs lease commencing from 2007","Resale","1","16500000","-","8819","Land","-","1871","Jul-2016"
"124","LANDED HOUSING DEVELOPMENT","WEST COAST ROAD","Terrace","05","OCR","Freehold","Resale","1","2510000","-","1848","Land","-","1358","Jul-2016"
"125","SPRINGWOOD","SPRINGWOOD CRESCENT","Terrace","05","RCR","Freehold","Resale","1","2690000","-","2081","Land","-","1293","Jul-2016"
"126","BANYAN PARK","CHWEE CHIAN ROAD","Terrace","05","RCR","Freehold","Resale","1","2650000","-","1746","Land","-","1518","Jul-2016"
"127","WEST COAST GARDENS","WEST COAST TERRACE","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2653333","-","2004","Land","-","1324","Jun-2016"
"128","CHELSEA VILLAGE","JAMBOL PLACE","Terrace","05","RCR","Freehold","Resale","1","2500000","-","2001","Land","-","1249","Jun-2016"
"129","CHELSEA VILLAGE","JAMBOL PLACE","Terrace","05","RCR","Freehold","Resale","1","2250000","-","1864","Land","-","1207","Jun-2016"
"130","WEST COAST GARDENS","WEST COAST WAY","Terrace","05","OCR","956 yrs lease commencing from 1928","Resale","1","2130000","-","2206","Land","-","966","Jun-2016"
"131","OCEAN 8","OCEAN DRIVE","Terrace","04","CCR","99 yrs lease commencing from 2005","Resale","1","5300000","-","2623","Land","-","2020","Jun-2016"
"132","CHELSEA VILLAGE","JAMBOL PLACE","Terrace","05","RCR","Freehold","Resale","1","2380000","-","1835","Land","-","1297","May-2016"
"133","THE BERTHSIDE","OCEAN DRIVE","Terrace","04","CCR","99 yrs lease commencing from 2004","Resale","1","6800000","-","3405","Land","-","1997","May-2016"
"134","WEST COAST GARDENS","WEST COAST PARK","Semi-detached","05","OCR","956 yrs lease commencing from 1928","Resale","1","4660000","-","4264","Land","-","1093","May-2016"
"135","FABER HILLS","FABER GREEN","Terrace","05","OCR","Freehold","Resale","1","3090000","-","2136","Land","-","1447","May-2016"
"136","VILLAS SIX","PASIR PANJANG ROAD","Terrace","05","RCR","Freehold","Resale","1","3128000","-","2589","Land","-","1208","Apr-2016"
"137","LANDED HOUSING DEVELOPMENT","OCEAN DRIVE","Terrace","04","CCR","99 yrs lease commencing from 2004","Resale","1","5000000","-","2677","Land","-","1868","Apr-2016"
"138","LANDED HOUSING DEVELOPMENT","FABER GROVE","Semi-detached","05","OCR","Freehold","Resale","1","4500000","-","3710","Land","-","1213","Apr-2016"
"139","LANDED HOUSING DEVELOPMENT","FABER PARK","Detached","05","OCR","Freehold","Resale","1","8700000","-","8612","Land","-","1010","Apr-2016"
"140","LANDED HOUSING DEVELOPMENT","JALAN MAS KUNING","Terrace","05","OCR","Freehold","Resale","1","3200000","-","2462","Land","-","1300","Feb-2016"